temperature,precipitation,humidity,WindSpeed,DaylightHours,pressure,weather
10.8,0,76,0.8,0,1020.2,2
10.2,0,79,0.6,0,1020.3,2
9.3,0,83,0.5,0,1020.7,2
8.9,0,88,0.7,0,1021,2
8.6,0,85,1.3,0.1,1021.5,2
10,0,75,1.1,1,1021.7,2
12.4,0,71,0.8,1,1021,2
14.6,0,67,1.8,1,1020.2,2
16.9,0,59,1.4,1,1019.3,2
18.5,0,50,1.8,1,1018.9,2
22,0,44,1.6,1,1017.3,2
24,0,33,1.9,1,1016,2
26.6,0,27,2.6,1,1015,2
27.3,0,25,3.1,1,1014.3,2
25.9,0,25,1,0.9,1013.7,2
27.2,0,25,2.5,0.9,1013.4,2
24.8,0,28,6,1,1014.1,2
23.2,0,33,3,0.2,1015,4
21.9,0,38,3.4,0,1015.6,4
20.4,0,43,2.1,0,1016.1,4
20.3,0,42,1.5,0,1016.5,4
18.1,0,58,1,0,1016.6,4
16.9,0,60,1.4,0,1017.2,4
16.3,0,63,0.7,0,1017,4
16.1,0,66,0.5,0,1016.6,4
14.6,0,73,1.2,0,1016.9,4
14.1,0,73,1.1,0,1017.1,4
13.3,0,78,0.9,0,1017.2,2
13.2,0,77,0.6,0,1017.1,4
14.4,0,74,1.1,0.6,1017.4,4
15.6,0,71,1.3,0,1017.3,4
16.7,0,66,1,0.2,1017,4
19,0,59,0.5,0.5,1016.8,4
20.3,0,46,1.1,0.8,1016.1,4
23.2,0,38,1.9,0.8,1014.9,0
24.9,0,34,2.5,0.7,1014,4
25.1,0,34,3.9,0.2,1013.4,4
25.7,0,33,2.6,0.2,1012.9,4
25,0,31,4,0.1,1012.9,4
24.2,0,35,3.4,0,1013,4
23.2,0,39,1.2,0,1013.7,4
21.8,0,41,0.8,0,1014.1,4
20.9,0,47,1.7,0,1014.5,4
18.9,0,61,0.5,0,1014.9,4
18.3,0,62,1.3,0,1015.1,4
17.8,0,61,0.9,0,1015,4
17.2,0,66,0.8,0,1014.8,4
16.5,0,70,0.6,0,1014.4,4
16.4,0,73,0.5,0,1014.2,4
15.4,0,78,0.8,0,1014.2,4
15.4,0,75,0.8,0,1014.2,4
15.7,0,71,0.6,0,1014.3,4
15.1,0,81,2,0,1014.6,4
15.8,0,75,0.6,0,1014.4,10
17.2,0,70,0.8,0,1013.6,4
19,0,64,1.6,0.5,1013.1,4
20.2,0,56,1.1,0.6,1012.4,4
22.2,0,49,2.1,0.6,1011.5,4
22.7,0,49,1.2,0,1010.7,4
23.8,0,49,2.4,0,1009.5,4
23.6,0,51,4.4,0,1008.8,4
20.7,0,57,5.5,0,1009.2,10
20.3,0,64,4.4,0,1009,10
18.4,0.5,79,3,0,1009,10
17.6,0.5,81,2.1,0,1009.2,10
16.8,0.5,89,0.9,0,1009.2,10
17.2,0,85,0.8,0,1009.1,4
16.9,0,87,0.8,0,1009.2,4
16,0,94,0.9,0,1008.8,4
15.9,0,94,0.5,0,1008.4,4
15.4,0,94,0.9,0,1008.2,4
15.3,0,94,1.5,0,1008.1,10
15.1,0,96,0.7,0,1007.8,4
14.9,0,95,1.1,0,1007.4,10
14.6,0,96,1.3,0,1006.9,10
14.4,0,95,1.3,0,1006.9,10
14.7,0.5,96,0.4,0,1007.1,10
14.7,1,94,0.7,0,1007.2,10
15.5,1.5,92,0.8,0,1007,10
15.8,0,89,0.5,0,1006.7,10
17,0,84,1,0,1006.6,4
17.8,0,74,1.3,0,1006,4
19.2,0,73,2.2,0.1,1005.6,4
19.5,0,71,2.3,0,1005,4
19.8,0,66,3.4,0,1004.8,4
19.9,0,65,3.2,0,1004.5,4
19.1,0.5,72,1.9,0.1,1004.5,10
17.5,0,81,0.8,0,1005.2,4
17.6,0,83,0.8,0,1005.5,4
17.1,0,87,1.6,0,1005.7,4
16.1,0,90,1.8,0,1005.9,2
15.3,0,90,0.6,0,1006.5,2
